"","type","strike","expiration","mark","bid","ask","vol","update","days_to_expiry","timestamp","spy_close","premium","adj","days_to_expiry_adj","iv","forward","name","delta","gamma","theta","vega"
"136956","P",623,2026-03-25,0.01,0.01,0.01,25,1774446414366,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.722684592604637,656.572500246767,"P623.Mar25",-0.00267572179163988,0.000664573026116277,-0.204918063590565,0.00141790840983779
"136957","C",624,2026-03-25,32.5505,32.5505,32.5505,NA,1774447199494,0.249967852568737,2026-03-25 10:00:02,656.51,0.0405000000000086,0,0.249967852568737,NA,656.572500246767,"C624.Mar25",NA,NA,NA,NA
"136958","P",624,2026-03-25,0.01,0.01,0.01,3,1774446416461,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.702673840820789,656.572500246767,"P624.Mar25",-0.0027461709450971,0.000699725079949456,-0.2039725760913,0.0014515697157106
"136959","C",625,2026-03-25,31.5539,31.5539,31.5539,NA,1774447200018,0.249967852568737,2026-03-25 10:00:02,656.51,0.0439000000000078,0,0.249967852568737,NA,656.572500246767,"C625.Mar25",NA,NA,NA,NA
"136960","P",625,2026-03-25,0.01,0.01,0.01,6,1774446964173,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.682646581828594,656.572500246767,"P625.Mar25",-0.00282061744454654,0.000737849058737904,-0.202998469934835,0.00148703133482909
"136961","C",626,2026-03-25,30.5574,30.5574,30.5574,NA,1774447200018,0.249967852568737,2026-03-25 10:00:02,656.51,0.0474000000000103,0,0.249967852568737,NA,656.572500246767,"C626.Mar25",NA,NA,NA,NA
"136962","P",626,2026-03-25,0.0119,0.0119,0.0119,2,1774446769067,0.249967852568737,2026-03-25 10:00:02,656.51,0.0119,0,0.249967852568737,0.674255268871784,656.572500246767,"P626.Mar25",-0.00334838320615183,0.000871808701749152,-0.233991474124397,0.00173541050055489
"136963","C",627,2026-03-25,29.5575,29.5575,29.5575,NA,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0475000000000101,0,0.249967852568737,NA,656.572500246767,"C627.Mar25",NA,NA,NA,NA
"136964","P",627,2026-03-25,0.01,0.01,0.01,532,1774447016642,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.642535180896521,656.572500246767,"P627.Mar25",-0.00298300510452776,0.00082448801191026,-0.200957466328135,0.00156400425268681
"136965","C",628,2026-03-25,28.5607,28.5607,28.5607,1,1774447199492,0.249967852568737,2026-03-25 10:00:02,656.51,0.0507000000000097,0,0.249967852568737,NA,656.572500246767,"C628.Mar25",NA,NA,NA,NA
"136966","P",628,2026-03-25,0.0139,0.0139,0.0139,75,1774446791202,0.249967852568737,2026-03-25 10:00:02,656.51,0.0139,0,0.249967852568737,0.643825494349003,656.572500246767,"P628.Mar25",-0.00402957434285323,0.00107802404887909,-0.263807639762018,0.00204905347195255
"136967","C",629,2026-03-25,27.5631,27.5631,27.5631,5,1774447199494,0.249967852568737,2026-03-25 10:00:02,656.51,0.0531000000000077,0,0.249967852568737,NA,656.572500246767,"C629.Mar25",NA,NA,NA,NA
"136968","P",629,2026-03-25,0.019,0.019,0.019,563,1774447019119,0.249967852568737,2026-03-25 10:00:02,656.51,0.019,0,0.249967852568737,0.64465650588274,656.572500246767,"P629.Mar25",-0.0053572464456737,0.00138811711604521,-0.340566426269028,0.0026418682269801
"136969","C",630,2026-03-25,26.5651,26.5651,26.5651,3,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0551000000000101,0,0.249967852568737,NA,656.572500246767,"C630.Mar25",NA,NA,NA,NA
"136970","P",630,2026-03-25,0.0186,0.0186,0.0186,1430,1774447019119,0.249967852568737,2026-03-25 10:00:02,656.51,0.0186,0,0.249967852568737,0.621871873885393,656.572500246767,"P630.Mar25",-0.00543029849688037,0.00145640654025416,-0.332505426486605,0.00267386950376951
"136971","C",631,2026-03-25,25.5668,25.5668,25.5668,4,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0568000000000097,0,0.249967852568737,NA,656.572500246767,"C631.Mar25",NA,NA,NA,NA
"136972","P",631,2026-03-25,0.02,0.02,0.02,1080,1774447200515,0.249967852568737,2026-03-25 10:00:02,656.51,0.02,0,0.249967852568737,0.605526540279388,656.572500246767,"P631.Mar25",-0.00594509318632042,0.00162095480554294,-0.350870426010289,0.00289774898182001
"136973","C",632,2026-03-25,24.5679,24.5679,24.5679,NA,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0579000000000107,0,0.249967852568737,NA,656.572500246767,"C632.Mar25",NA,NA,NA,NA
"136974","P",632,2026-03-25,0.02,0.02,0.02,54,1774447020170,0.249967852568737,2026-03-25 10:00:02,656.51,0.02,0,0.249967852568737,0.584045308530331,656.572500246767,"P632.Mar25",-0.00614468457332917,0.00173048609174399,-0.348469919441567,0.00298381110124499
"136975","C",633,2026-03-25,23.5688,23.5688,23.5688,NA,1774447199494,0.249967852568737,2026-03-25 10:00:02,656.51,0.0588000000000086,0,0.249967852568737,NA,656.572500246767,"C633.Mar25",NA,NA,NA,NA
"136976","P",633,2026-03-25,0.02,0.02,0.02,325,1774447016641,0.249967852568737,2026-03-25 10:00:02,656.51,0.02,0,0.249967852568737,0.562519016563892,656.572500246767,"P633.Mar25",-0.00635914775500368,0.00185212721122718,-0.345974024128868,0.00307584675177093
"136977","C",634,2026-03-25,22.5703,22.5703,22.5703,NA,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0603000000000087,0,0.249967852568737,NA,656.572500246767,"C634.Mar25",NA,NA,NA,NA
"136978","P",634,2026-03-25,0.02,0.02,0.02,2920,1774447095621,0.249967852568737,2026-03-25 10:00:02,656.51,0.02,0,0.249967852568737,0.540943500399589,656.572500246767,"P634.Mar25",-0.00659027183008443,0.0019877968726254,-0.343374255957537,0.00317453838361052
"136979","C",635,2026-03-25,21.5727,21.5727,21.5727,1,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0627000000000102,0,0.249967852568737,0.351039519309998,656.572500246767,"C635.Mar25",0.999864725277066,8.71427500418743e-05,-0.0237361118484956,9.03116849468114e-05
